label,text
marah,balas dendam terbaik adalah menjadi tidak seperti orang yang melakukan kejahatan sebuah pelajaran berharga.
takut,"bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup. demikian pesan sang filsuf — filsuf stoa."
marah,"mulailah setiap hari dengan memberi tahu dirimu sendiri: hari ini saya akan bertemu dengan gangguan, ketidakberterimaan, ketidakadilan, kemauan buruk, dan egoisme - semuanya karena ketidaktahuan pelaku tentang apa yang baik atau jahat. demikian pesan sang filsuf."
jijik,"marcus aurelius berkata: dalam meditations, marcus aurelius menulis: ini adalah tanda kesempurnaan karakter - menghabiskan setiap hari seolah-olah itu hari terakhirmu, tanpa kebingungan, kemalasan, atau pura-pura"
jijik,"ini adalah tanda kesempurnaan karakter - menghabiskan setiap hari seolah-olah itu hari terakhirmu, tanpa kebingungan, kemalasan, atau pura-pura — filsuf stoa."
marah,"kata-kata bijak marcus aurelius: kamu tidak boleh memberi keadaan kekuasaan untuk membangkitkan kemarahan, karena mereka sama sekali tidak peduli"
netral,"segala sesuatu yang kita dengar adalah opini, bukan fakta. segala sesuatu yang kita lihat adalah sudut pandang, bukan kebenaran — marcus aurelius"
netral,kita hidup hanya sekarang — marcus aurelius
netral,renungkan: karena dalam kekuasaanmu untuk mundur ke dalam dirimu sendiri kapan saja kamu mau
cape,kata marcus aurelius: lihatlah ke dalam dirimu; ada sumber kekuatan yang akan selalu muncul jika kamu terus melihat
senang,"kata marcus aurelius: berilah dirimu waktu untuk belajar sesuatu yang baik, dan berhentilah berkeliaran kesana-kemari"
netral,"dalam meditations, marcus aurelius menulis: tujuan hidup bukanlah menjadi pihak mayoritas, tapi melarikan diri dari diri sendiri dalam deretan orang gila"
netral,kedua adalah menghadapi hal-hal sebagaimana adanya dan mengenalinya untuk apa adanya — marcus aurelius
marah,berapa banyak lebih berat akibat kemarahan dibandingkan penyebabnya — filsuf stoa.
takut,"dalam meditations, marcus aurelius menulis: bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup. itulah nasihat marcus aurelius."
cape,"kata-kata bijak marcus aurelius: terimalah tanpa kesombongan, lepaskan tanpa perjuangan"
sedih,"hiduplah dengan bijak: jangan kembali ke filsafat sebagai pembimbing, tapi sebagai pasien mencari bantuan untuk mata yang sakit, atau perban untuk luka bakar, atau dari salep. dengan cara ini, kamu akan mematuhi alasan tanpa menampilkannya dan merasa nyaman dalam perawatannya"
senang,kata-kata bijak marcus aurelius: aturan pertama adalah menjaga semangat yang tenang. kedua adalah menghadapi hal-hal sebagaimana adanya dan mengenalinya untuk apa adanya
jijik,"jika seseorang dapat menunjukkan kepadaku bahwa apa yang saya pikirkan atau lakukan tidak benar, saya akan dengan senang hati berubah, karena saya mencari kebenaran, yang tidak pernah merugikan siapa pun secara sungguh-sungguh — marcus aurelius"
takut,"peringatan marcus aurelius: bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup"
takut,"kata-kata bijak marcus aurelius: dalam meditations, marcus aurelius menulis: bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup"
kaget,"seni hidup lebih mirip bergulat daripada menari, karena hidup yang berkelas memerlukan persiapan untuk menghadapi dan menahan serangan yang tiba-tiba dan tak terduga — marcus aurelius, meditations"
sedih,"peringatan marcus aurelius: pikirkanlah hidup yang telah kamu jalani sampai sekarang sebagai berakhir, dan sebagai seorang yang sudah mati, lihatlah apa yang masih tersisa sebagai bonus dan hiduplah sesuai dengan alam. cintailah tangan yang takdir berikan padamu dan mainkanlah seperti milikmu sendiri, karena apakah yang lebih cocok"
sedih,"jangan kembali ke filsafat sebagai pembimbing, tapi sebagai pasien mencari bantuan untuk mata yang sakit, atau perban untuk luka bakar, atau dari salep. dengan cara ini, kamu akan mematuhi alasan tanpa menampilkannya dan merasa nyaman dalam perawatannya — marcus aurelius"
netral,"timun itu pahit, maka buanglah! ada duri di jalan, maka hindarilah! cukuplah. mengapa memikirkan keberadaan sesuatu yang merepotkan sebuah pelajaran berharga."
takut,"hiduplah dengan bijak: bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup sebuah pelajaran berharga"
jijik,"kata marcus aurelius: ini adalah tanda kesempurnaan karakter - menghabiskan setiap hari seolah-olah itu hari terakhirmu, tanpa kebingungan, kemalasan, atau pura-pura — marcus aurelius, meditations — marcus aurelius"
senang,hidup singkat - buah dari hidup ini adalah karakter yang baik dan tindakan untuk kebaikan bersama — filsuf stoa.
jijik,"marcus aurelius berkata: kata-kata bijak marcus aurelius: jika seseorang dapat menunjukkan kepadaku bahwa apa yang saya pikirkan atau lakukan tidak benar, saya akan dengan senang hati berubah, karena saya mencari kebenaran, yang tidak pernah merugikan siapa pun secara sungguh-sungguh. itu orang yang terus berada dalam penipuan diri dan ketidaktahuan yang merugikan — marcus aurelius, meditations"
cape,"[aku belajar] membaca dengan tekun"";"" tidak puas dengan pengetahuan yang ringan dan dangkal, dan tidak cepat setuju dengan hal-hal yang umum dibicarakan — filsuf stoa"
sedih,"marcus aurelius mengingatkan: jangan kembali ke filsafat sebagai pembimbing, tapi sebagai pasien mencari bantuan untuk mata yang sakit, atau perban untuk luka bakar, atau dari salep"
kaget,marcus aurelius berkata: kata-kata bijak marcus aurelius: takut akan perubahan? tetapi apa yang bisa ada tanpa itu? apa yang lebih dekat dengan hati alam? bisakah kamu mandi air panas dan meninggalkan kayu bakar seperti itu? makan makanan tanpa mengubahnya? dapatkah proses penting terjadi tanpa sesuatu yang berubah? tidak bisa kamu lihat? itu sama saja dengan kamu - dan sama pentingnya bagi alam. demikian pesan sang filsuf
cape,"hiduplah dengan bijak: kamu memiliki kekuasaan atas pikiranmu - bukan atas kejadian di luar. sadarilah ini, dan kamu akan menemukan kekuatan"
senang,"berilah dirimu waktu untuk belajar sesuatu yang baik, dan berhentilah berkeliaran kesana-kemari. pesan marcus aurelius. — marcus aurelius, meditations"
marah,"seperti kata marcus aurelius: setiap kali seseorang melakukan kesalahan terhadapmu, segera pertimbangkan apa pemikiran tentang yang baik atau jahat yang mereka miliki dalam melakukannya. karena ketika kamu melihat itu, kamu akan merasa kasihan, bukan heran atau marah. demikian pesan sang filsuf."
netral,"seperti kata marcus aurelius: aku belajar membaca dengan teliti dan tidak puas dengan pemahaman kasar tentang keseluruhan, dan tidak segera setuju dengan mereka yang banyak bicara tentang sesuatu — marcus aurelius, meditations"
sedih,"marcus aurelius berkata: seperti kata marcus aurelius: pikirkanlah hidup yang telah kamu jalani sampai sekarang sebagai berakhir, dan sebagai seorang yang sudah mati, lihatlah apa yang masih tersisa sebagai bonus dan hiduplah sesuai dengan alam. cintailah tangan yang takdir berikan padamu dan mainkanlah seperti milikmu sendiri, karena apakah yang lebih cocok"
sedih,"pikirkanlah hidup yang telah kamu jalani sampai sekarang sebagai berakhir, dan sebagai seorang yang sudah mati, lihatlah apa yang masih tersisa sebagai bonus dan hiduplah sesuai dengan alam. cintailah tangan yang takdir berikan padamu dan mainkanlah seperti milikmu sendiri, karena apakah yang lebih cocok — marcus aurelius — marcus aurelius"
kaget,marcus aurelius mengingatkan: takut akan perubahan? tetapi apa yang bisa ada tanpa itu? apa yang lebih dekat dengan hati alam? bisakah kamu mandi air panas dan meninggalkan kayu bakar seperti itu? makan makanan tanpa mengubahnya? dapatkah proses penting terjadi tanpa sesuatu yang berubah? tidak bisa kamu lihat? itu sama saja dengan kamu - dan sama pentingnya bagi alam — marcus aurelius
netral,"seperti kata marcus aurelius: karena sesuatu tampak sulit bagi anda, jangan anggap itu tidak mungkin. demikian pesan sang filsuf."
marah,"hiduplah dengan bijak: hiduplah dengan kebenaran dan keadilan, toleran terhadap mereka yang tidak benar atau tidak adil"
jijik,"marcus aurelius berkata: peringatan marcus aurelius: jika seseorang dapat menunjukkan kepadaku bahwa apa yang saya pikirkan atau lakukan tidak benar, saya akan dengan senang hati berubah, karena saya mencari kebenaran, yang tidak pernah merugikan siapa pun secara sungguh-sungguh. itu orang yang terus berada dalam penipuan diri dan ketidaktahuan yang merugikan"
kaget,"kata marcus aurelius: marcus aurelius mengingatkan: seni hidup lebih mirip bergulat daripada menari, karena hidup yang berkelas memerlukan persiapan untuk menghadapi dan menahan serangan yang tiba-tiba dan tak terduga"
jijik,"kebaikan hati adalah tak terkalahkan, tetapi hanya jika itu tulus, tanpa kepura-puraan atau pemalsuan. apa yang dapat dilakukan orang jahat terhadapmu jika kamu terus menunjukkan kebaikan hati dan, jika diberi kesempatan, dengan lembut menunjukkan di mana mereka salah - tepat saat mereka mencoba menyakitimu. itulah nasihat marcus aurelius"
cape,"peringatan marcus aurelius: [aku belajar] membaca dengan tekun"";"" tidak puas dengan pengetahuan yang ringan dan dangkal, dan tidak cepat setuju dengan hal-hal yang umum dibicarakan"
marah,seperti kata marcus aurelius: berapa banyak lebih berat akibat kemarahan dibandingkan penyebabnya
cape,"seperti kata marcus aurelius: terimalah tanpa kesombongan, lepaskan tanpa perjuangan — marcus aurelius, meditations"
netral,"seperti kata marcus aurelius: jangan biarkan masa depan mengganggumu. kamu akan menghadapinya, jika perlu, dengan senjata alasan yang sama yang hari ini melindungimu dari saat ini"
netral,kenangan tentang segala sesuatu segera terlupakan seiring waktu
takut,"marcus aurelius mengingatkan: kata-kata bijak marcus aurelius: bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup"
kaget,takut akan perubahan. pesan marcus aurelius.
netral,kata-kata bijak marcus aurelius: selalu ada opsi untuk tidak memiliki pendapat. tidak pernah ada kebutuhan untuk terlalu terbawa-bawa atau meresahkan jiwamu tentang hal-hal yang tidak bisa kamu kendalikan. hal-hal ini tidak meminta untuk dinilai olehmu. biarkanlah saja
kaget,kata marcus aurelius: takut akan perubahan — marcus aurelius
marah,"marcus aurelius mengingatkan: kamu tidak boleh memberi keadaan kekuasaan untuk membangkitkan kemarahan, karena mereka sama sekali tidak peduli"
sedih,"pikirkanlah hidup yang telah kamu jalani sampai sekarang sebagai berakhir, dan sebagai seorang yang sudah mati, lihatlah apa yang masih tersisa sebagai bonus dan hiduplah sesuai dengan alam. cintailah tangan yang takdir berikan padamu dan mainkanlah seperti milikmu sendiri, karena apakah yang lebih cocok sebuah pelajaran berharga."
sedih,"marcus aurelius berkata: marcus aurelius berkata: jangan kembali ke filsafat sebagai pembimbing, tapi sebagai pasien mencari bantuan untuk mata yang sakit, atau perban untuk luka bakar, atau dari salep. dengan cara ini, kamu akan mematuhi alasan tanpa menampilkannya dan merasa nyaman dalam perawatannya — marcus aurelius, meditations"
jijik,"dalam meditations, marcus aurelius menulis: ini adalah tanda kesempurnaan karakter - menghabiskan setiap hari seolah-olah itu hari terakhirmu, tanpa kebingungan, kemalasan, atau pura-pura"
sedih,"renungkan: jangan kembali ke filsafat sebagai pembimbing, tapi sebagai pasien mencari bantuan untuk mata yang sakit, atau perban untuk luka bakar, atau dari salep. dengan cara ini, kamu akan mematuhi alasan tanpa menampilkannya dan merasa nyaman dalam perawatannya. demikian pesan sang filsuf — marcus aurelius"
marah,"kamu tidak boleh memberi keadaan kekuasaan untuk membangkitkan kemarahan, karena mereka sama sekali tidak peduli — filsuf stoa."
kaget,"marcus aurelius berkata: seperti kata marcus aurelius: seni hidup lebih mirip bergulat daripada menari, karena hidup yang berkelas memerlukan persiapan untuk menghadapi dan menahan serangan yang tiba-tiba dan tak terduga"
cape,"seperti kata marcus aurelius: terimalah tanpa kesombongan, lepaskan tanpa perjuangan — marcus aurelius"
netral,kata-kata bijak marcus aurelius: pikiran yang terbebas dari gairah adalah benteng yang tidak dapat ditembus - seseorang tidak memiliki tempat perlindungan yang lebih aman selamanya
netral,"marcus aurelius mengingatkan: biarkanlah orang melihat, biarkan mereka tahu, seorang pria sejati, yang hidup seperti yang seharusnya dia jalani — marcus aurelius, meditations"
marah,"karena ketika kamu melihat itu, kamu akan merasa kasihan, bukan heran atau marah — marcus aurelius. demikian pesan sang filsuf."
marah,marcus aurelius berkata: balas dendam terbaik adalah menjadi tidak seperti orang yang melakukan kejahatan
kaget,renungkan: takut akan perubahan? tetapi apa yang bisa ada tanpa itu? apa yang lebih dekat dengan hati alam? bisakah kamu mandi air panas dan meninggalkan kayu bakar seperti itu? makan makanan tanpa mengubahnya? dapatkah proses penting terjadi tanpa sesuatu yang berubah? tidak bisa kamu lihat? itu sama saja dengan kamu - dan sama pentingnya bagi alam — marcus aurelius
takut,"hiduplah dengan bijak: bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup. demikian pesan sang filsuf"
cape,"renungkan: [aku belajar] membaca dengan tekun"";"" tidak puas dengan pengetahuan yang ringan dan dangkal, dan tidak cepat setuju dengan hal-hal yang umum dibicarakan"
cape,"peringatan marcus aurelius: [aku belajar] membaca dengan tekun"";"" tidak puas dengan pengetahuan yang ringan dan dangkal, dan tidak cepat setuju dengan hal-hal yang umum dibicarakan — marcus aurelius"
takut,"bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup — marcus aurelius. pesan marcus aurelius."
netral,kamu memiliki kekuasaan atas pikiranmu - bukan atas kejadian di luar
netral,"sama seperti zamrud atau emas atau ungu mungkin selalu mengumumkan: 'apa pun yang dilakukan atau dikatakan seseorang, saya harus menjadi diri saya sendiri dan menunjukkan warna sejatiku.' — marcus aurelius"
takut,"marcus aurelius mengingatkan: bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup. demikian pesan sang filsuf — filsuf stoa."
cape,"kamu memiliki kekuasaan atas pikiranmu - bukan atas kejadian di luar. sadarilah ini, dan kamu akan menemukan kekuatan. pesan marcus aurelius"
sedih,"marcus aurelius berkata: biarkanlah setiap hal yang akan kamu lakukan, katakan, atau niatkan, seperti milik seorang yang akan mati — marcus aurelius, meditations"
netral,"tanggung jawab kepemimpinan adalah bekerja dengan cerdas dengan apa yang diberikan, dan jangan membuang waktu memimpikan dunia orang-orang yang sempurna dan pilihan yang sempurna"
takut,"marcus aurelius mengingatkan: bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup. demikian pesan sang filsuf — marcus aurelius"
senang,kata marcus aurelius: kematian menggantung di atasmu
marah,balas dendam terbaik adalah menjadi tidak seperti orang yang melakukan kejahatan — marcus aurelius
cape,peringatan marcus aurelius: lihatlah ke dalam dirimu; ada sumber kekuatan yang akan selalu muncul jika kamu terus melihat — marcus aurelius
jijik,"marcus aurelius berkata: marcus aurelius berkata: kebaikan hati adalah tak terkalahkan, tetapi hanya jika itu tulus, tanpa kepura-puraan atau pemalsuan"
kaget,"marcus aurelius berkata: seni hidup lebih mirip bergulat daripada menari, karena hidup yang berkelas memerlukan persiapan untuk menghadapi dan menahan serangan yang tiba-tiba dan tak terduga — filsuf stoa.. demikian pesan sang filsuf"
senang,"yang kamu butuhkan hanyalah ini: keyakinan dalam penilaian saat ini: tindakan untuk kebaikan bersama saat ini"";"" dan sikap bersyukur saat ini untuk apa pun yang datang padamu sebuah pelajaran berharga. — marcus aurelius, meditations"
senang,"dimanapun seseorang bisa hidup, disana juga seseorang bisa hidup dengan baik — marcus aurelius — marcus aurelius, meditations"
senang,aturan pertama adalah menjaga semangat yang tenang
kaget,kata marcus aurelius: marcus aurelius berkata: takut akan perubahan? tetapi apa yang bisa ada tanpa itu? apa yang lebih dekat dengan hati alam? bisakah kamu mandi air panas dan meninggalkan kayu bakar seperti itu? makan makanan tanpa mengubahnya? dapatkah proses penting terjadi tanpa sesuatu yang berubah? tidak bisa kamu lihat? itu sama saja dengan kamu - dan sama pentingnya bagi alam
sedih,"seperti kata marcus aurelius: pikirkanlah hidup yang telah kamu jalani sampai sekarang sebagai berakhir, dan sebagai seorang yang sudah mati, lihatlah apa yang masih tersisa sebagai bonus dan hiduplah sesuai dengan alam. cintailah tangan yang takdir berikan padamu dan mainkanlah seperti milikmu sendiri, karena apakah yang lebih cocok. demikian pesan sang filsuf."
kaget,"seni hidup lebih mirip bergulat daripada menari, karena hidup yang berkelas memerlukan persiapan untuk menghadapi dan menahan serangan yang tiba-tiba dan tak terduga. itulah nasihat marcus aurelius"
cape,"hiduplah dengan bijak: kamu memiliki kekuasaan atas pikiranmu - bukan atas kejadian di luar. sadarilah ini, dan kamu akan menemukan kekuatan — marcus aurelius"
senang,marcus aurelius berkata: tidak ada harmoni yang lebih besar
sedih,"kata marcus aurelius: marcus aurelius berkata: cobalah berdoa dengan cara yang berbeda, dan lihatlah apa yang terjadi: alih-alih meminta 'cara untuk tidur dengannya,' cobalah meminta 'cara untuk berhenti menginginkannya.' alih-alih 'cara untuk menghilangkan dia,' cobalah meminta 'cara untuk tidak merindukan kehancurannya.' alih-alih 'cara untuk tidak kehilangan anakku,' cobalah meminta 'cara untuk kehilangan ketakutan saya akan hal itu.'"
cape,"terimalah tanpa kesombongan, lepaskan tanpa perjuangan. pesan marcus aurelius."
sedih,"peringatan marcus aurelius: pikirkanlah hidup yang telah kamu jalani sampai sekarang sebagai berakhir, dan sebagai seorang yang sudah mati, lihatlah apa yang masih tersisa sebagai bonus dan hiduplah sesuai dengan alam. cintailah tangan yang takdir berikan padamu dan mainkanlah seperti milikmu sendiri, karena apakah yang lebih cocok — marcus aurelius, meditations"
takut,"bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup — marcus aurelius. itulah nasihat marcus aurelius."
kaget,"marcus aurelius berkata: kata-kata bijak marcus aurelius: takut akan perubahan? tetapi apa yang bisa ada tanpa itu? apa yang lebih dekat dengan hati alam? bisakah kamu mandi air panas dan meninggalkan kayu bakar seperti itu? makan makanan tanpa mengubahnya? dapatkah proses penting terjadi tanpa sesuatu yang berubah? tidak bisa kamu lihat? itu sama saja dengan kamu - dan sama pentingnya bagi alam — marcus aurelius, meditations"
marah,"peringatan marcus aurelius: kamu tidak boleh memberi keadaan kekuasaan untuk membangkitkan kemarahan, karena mereka sama sekali tidak peduli — marcus aurelius, meditations"
senang,"kata marcus aurelius: jangan berlebihan dalam impian memiliki apa yang belum kamu miliki, tapi hitunglah berkah utama yang kamu miliki, dan kemudian dengan rasa syukur ingatlah bagaimana kamu akan merindukannya jika itu bukan milikmu"
sedih,"dalam meditations, marcus aurelius menulis: pikirkanlah hidup yang telah kamu jalani sampai sekarang sebagai berakhir, dan sebagai seorang yang sudah mati, lihatlah apa yang masih tersisa sebagai bonus dan hiduplah sesuai dengan alam. cintailah tangan yang takdir berikan padamu dan mainkanlah seperti milikmu sendiri, karena apakah yang lebih cocok. demikian pesan sang filsuf."
senang,"gali dalam dirimu, karena ada sumber kebaikan yang selalu siap mengalir jika kamu terus menggali sebuah pelajaran berharga."
netral,marcus aurelius berkata: tidak pernah ada kebutuhan untuk terlalu terbawa-bawa atau meresahkan jiwamu tentang hal-hal yang tidak bisa kamu kendalikan
takut,"marcus aurelius berkata: marcus aurelius mengingatkan: bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup. demikian pesan sang filsuf"
jijik,"ini adalah tanda kesempurnaan karakter - menghabiskan setiap hari seolah-olah itu hari terakhirmu, tanpa kebingungan, kemalasan, atau pura-pura. pesan marcus aurelius — marcus aurelius"
marah,balas dendam terbaik adalah menjadi tidak seperti orang yang melakukan kejahatan
jijik,"dalam meditations, marcus aurelius menulis: kebaikan hati adalah tak terkalahkan, tetapi hanya jika itu tulus, tanpa kepura-puraan atau pemalsuan. apa yang dapat dilakukan orang jahat terhadapmu jika kamu terus menunjukkan kebaikan hati dan, jika diberi kesempatan, dengan lembut menunjukkan di mana mereka salah - tepat saat mereka mencoba menyakitimu"
cape,"renungkan: [aku belajar] membaca dengan tekun"";"" tidak puas dengan pengetahuan yang ringan dan dangkal, dan tidak cepat setuju dengan hal-hal yang umum dibicarakan. demikian pesan sang filsuf."
kaget,seperti kata marcus aurelius: takut akan perubahan? tetapi apa yang bisa ada tanpa itu? apa yang lebih dekat dengan hati alam? bisakah kamu mandi air panas dan meninggalkan kayu bakar seperti itu? makan makanan tanpa mengubahnya? dapatkah proses penting terjadi tanpa sesuatu yang berubah? tidak bisa kamu lihat? itu sama saja dengan kamu - dan sama pentingnya bagi alam
takut,"marcus aurelius mengingatkan: marcus aurelius mengingatkan: bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup — marcus aurelius, meditations"
jijik,"ini adalah tanda kesempurnaan karakter - menghabiskan setiap hari seolah-olah itu hari terakhirmu, tanpa kebingungan, kemalasan, atau pura-pura sebuah pelajaran berharga. — marcus aurelius, meditations"
cape,"renungkan: terimalah tanpa kesombongan, lepaskan tanpa perjuangan"
marah,balas dendam terbaik adalah menjadi tidak seperti orang yang melakukan kejahatan. pesan marcus aurelius.
sedih,"jangan kembali ke filsafat sebagai pembimbing, tapi sebagai pasien mencari bantuan untuk mata yang sakit, atau perban untuk luka bakar, atau dari salep. dengan cara ini, kamu akan mematuhi alasan tanpa menampilkannya dan merasa nyaman dalam perawatannya — filsuf stoa."
kaget,"kata marcus aurelius: hiduplah dengan bijak: seni hidup lebih mirip bergulat daripada menari, karena hidup yang berkelas memerlukan persiapan untuk menghadapi dan menahan serangan yang tiba-tiba dan tak terduga"
senang,"teruslah memikirkan perubahan elemen satu sama lain, karena pemikiran seperti itu membersihkan debu kehidupan duniawi. pesan marcus aurelius."
takut,"bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup — marcus aurelius — marcus aurelius"
marah,"marcus aurelius mengingatkan: pertahankan daftar di hadapan pikiranmu tentang mereka yang terbakar kemarahan dan kekecewaan terhadap sesuatu, bahkan yang paling terkenal karena kesuksesan, kemalangan, perbuatan jahat, atau prestasi istimewa apa pun. kemudian tanyakan pada dirimu sendiri, bagaimana hasilnya? asap dan debu, materi dongeng sederhana yang berusaha menjadi legenda. demikian pesan sang filsuf."
takut,"kata-kata bijak marcus aurelius: peringatan marcus aurelius: bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup"
marah,"marcus aurelius berkata: karena ketika kamu melihat itu, kamu akan merasa kasihan, bukan heran atau marah"
senang,"mencintai hanya apa yang terjadi, apa yang sudah ditentukan"
senang,seperti kata marcus aurelius: yang kamu butuhkan hanyalah ini: keyakinan dalam penilaian saat ini: tindakan untuk kebaikan bersama saat ini; dan sikap bersyukur saat ini untuk apa pun yang datang padamu
sedih,"dalam meditations, marcus aurelius menulis: jangan kembali ke filsafat sebagai pembimbing, tapi sebagai pasien mencari bantuan untuk mata yang sakit, atau perban untuk luka bakar, atau dari salep. dengan cara ini, kamu akan mematuhi alasan tanpa menampilkannya dan merasa nyaman dalam perawatannya — marcus aurelius"
senang,"marcus aurelius mengingatkan: lewati masa singkat ini dengan harmoni dengan alam, dan datanglah ke tempat peristirahatan terakhirmu dengan anggun, sama seperti zaitun yang matang bisa jatuh, memuji bumi yang memberinya makanan dan bersyukur kepada pohon yang memberinya pertumbuhan"
senang,"mencintai hanya apa yang terjadi, apa yang sudah ditentukan. tidak ada harmoni yang lebih besar"
takut,"marcus aurelius mengingatkan: marcus aurelius mengingatkan: bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup"
netral,jangan malu untuk membutuhkan bantuan. kamu memiliki tugas untuk dipenuhi seperti seorang prajurit di tembok pertempuran. jadi apa jika kamu terluka dan tidak bisa naik tanpa bantuan prajurit lain — filsuf stoa.
cape,"[aku belajar] membaca dengan tekun"";"" tidak puas dengan pengetahuan yang ringan dan dangkal, dan tidak cepat setuju dengan hal-hal yang umum dibicarakan. itulah nasihat marcus aurelius"
netral,"kenangan tentang segala sesuatu segera terlupakan seiring waktu. itulah nasihat marcus aurelius. — marcus aurelius, meditations"
sedih,"pikirkanlah hidup yang telah kamu jalani sampai sekarang sebagai berakhir, dan sebagai seorang yang sudah mati, lihatlah apa yang masih tersisa sebagai bonus dan hiduplah sesuai dengan alam. pesan marcus aurelius.. demikian pesan sang filsuf"
netral,kita hidup hanya sekarang. pesan marcus aurelius.
senang,"kata marcus aurelius: jangan bertindak seolah-olah kamu akan hidup sepuluh ribu tahun. kematian menggantung di atasmu. selama kamu hidup, selama itu dalam kekuasaanmu, berbuatlah baik. demikian pesan sang filsuf."
netral,"timun itu pahit, maka buanglah! ada duri di jalan, maka hindarilah! cukuplah. mengapa memikirkan keberadaan sesuatu yang merepotkan. pesan marcus aurelius."
netral,"jangan malu untuk membutuhkan bantuan. kamu memiliki tugas untuk dipenuhi seperti seorang prajurit di tembok pertempuran. jadi apa jika kamu terluka dan tidak bisa naik tanpa bantuan prajurit lain sebuah pelajaran berharga. — marcus aurelius, meditations"
cape,"kata-kata bijak marcus aurelius: kamu memiliki kekuasaan atas pikiranmu - bukan atas kejadian di luar. sadarilah ini, dan kamu akan menemukan kekuatan — marcus aurelius"
takut,"marcus aurelius mengingatkan: peringatan marcus aurelius: bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup"
kaget,"marcus aurelius mengingatkan: seni hidup lebih mirip bergulat daripada menari, karena hidup yang berkelas memerlukan persiapan untuk menghadapi dan menahan serangan yang tiba-tiba dan tak terduga — marcus aurelius"
sedih,"marcus aurelius berkata: hiduplah dengan bijak: cobalah berdoa dengan cara yang berbeda, dan lihatlah apa yang terjadi: alih-alih meminta 'cara untuk tidur dengannya,' cobalah meminta 'cara untuk berhenti menginginkannya.' alih-alih 'cara untuk menghilangkan dia,' cobalah meminta 'cara untuk tidak merindukan kehancurannya.' alih-alih 'cara untuk tidak kehilangan anakku,' cobalah meminta 'cara untuk kehilangan ketakutan saya akan hal itu.' — marcus aurelius, meditations"
senang,"mencintai hanya apa yang terjadi, apa yang sudah ditentukan. tidak ada harmoni yang lebih besar — marcus aurelius"
senang,marcus aurelius berkata: aturan pertama adalah menjaga semangat yang tenang. kedua adalah menghadapi hal-hal sebagaimana adanya dan mengenalinya untuk apa adanya
cape,"kata marcus aurelius: lihatlah ke dalam dirimu"";"" ada sumber kekuatan yang akan selalu muncul jika kamu terus melihat — marcus aurelius, meditations"
kaget,"kata marcus aurelius: seni hidup lebih mirip bergulat daripada menari, karena hidup yang berkelas memerlukan persiapan untuk menghadapi dan menahan serangan yang tiba-tiba dan tak terduga — filsuf stoa. — marcus aurelius, meditations"
takut,"bukan kematian yang seharusnya membuat seorang pria takut, tetapi dia seharusnya takut untuk tidak pernah mulai hidup — marcus aurelius, meditations"
sedih,"marcus aurelius berkata: renungkan: jangan kembali ke filsafat sebagai pembimbing, tapi sebagai pasien mencari bantuan untuk mata yang sakit, atau perban untuk luka bakar, atau dari salep. dengan cara ini, kamu akan mematuhi alasan tanpa menampilkannya dan merasa nyaman dalam perawatannya"
cape,"[aku belajar] membaca dengan tekun"";"" tidak puas dengan pengetahuan yang ringan dan dangkal, dan tidak cepat setuju dengan hal-hal yang umum dibicarakan. itulah nasihat marcus aurelius."
cape,"[aku belajar] membaca dengan tekun"";"" tidak puas dengan pengetahuan yang ringan dan dangkal, dan tidak cepat setuju dengan hal-hal yang umum dibicarakan — marcus aurelius, meditations"
